web_scraper_order,web_scraper_start_url,title,data3,data4,data5
"1784280955-11","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Stephen King's best adapted movie","baumer","Jul 13, 1999","Misery and Stand By Me were the best adaptations up until this one, now you can add Shawshank to that list.

This is simply one of the best films ever made and I know I am not the first to say that and I certainly won't be the last. The standing on the IMDb is a true barometer of that. #3 as of this date and I'm sure it could be number 1. So I'll just skip all the normal praise of the film because we all know how great it is. But let me perhaps add that what I find so fascinating about Shawshank is that Stephen King wrote it.

King is one of the best writers in the world. Books like IT and the Castle Rock series are some of the greatest stories ever told. But his best adaptations are always done by the best directors. The Shining was brilliantly interpreted by Kubrick and of course the aforementioned Misery and Stand By Me are both by Rob Reiner. Now Frank Darabont comes onto the scene and makes arguably the best King film ever. He seems to understand what King wants to say and he conveys that beautifully. 

What makes this film one of the best ever made is the message it conveys. It is one of eternal hope. Andy Dufresne, played by Tim Robbins, has been sent to prison for a crime he did not commit. But he never loses hope. He never gives up his quest to become a free man again. His years of tenacity, patience and wits keep him not only sane, but it gives his mind and a spirit a will to live. This film has a different feel to it. There has never been anything like it before and I don't know if there will again.

I'm not going to say any more about this film, it has already been said, but just suffice to say that I am glad that Forrest Gump won best picture in 94. I would have been equally glad if Pulp Fiction or Shawshank would have won. It is that good of a movie and one that will be appreciated for years to come."
"1784280955-12","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Good movie, but best of all time? Hardly . . .","DrJoTab","Apr 12, 1999","I was a little surprised at first to see this film ranked #1 out of all possible candidates in the IMDB user ratings. When I thought about it, though, it made more sense--this is a ""Rocky""-type feel-good movie that doesn't really make you think and reinforces what we would all like to believe about human nature. Don't get me wrong--it's a fine film (I gave it a solid 7 out of 10), it's just not, in my view, up there with _Casablanca_ and _The Graduate_.

I guess the main problem I have with _Shawshank_ is the nature of the script and characters. Think about it: is there a single person in the film who isn't a one-dimensional cardboard cut-out with very simple motivations, or a Hollywood cliche or stereotype? We have (in no particular order), a corrupt, bigoted prison warden (who is a religious hypocrite for good measure), a brutal prison guard, a man who is wrongly accused of murder, an old convict who knows all the ropes and can't live on the outside, and a convict who is murdered by the brutal guards. Now where have we seen this stuff before? Only in a few dozen movies made from the 20s to the 90s. There's really nothing new here. Probably this comes from the fact that the story is from Stephen King, who doesn't really do well with complex characters (a problem I noted as far back as _Carrie_).

If you want to see a good prison picture, try _Cool Hand Luke_ (from which this movie borrows considerably). If you want an escape picture, see either _The Great Escape_ or _Papillon_, both with Steve McQueen. Or if, by some chance, you want a crime and punishment movie that really makes you think, go with the late great Stanley Kubrick's _A Clockwork Orange_.

I couldn't stop thinking about the warden: doesn't he have a family? How did they feel? What are they going to do now? I realize the story is inside the prison, but I wish the movie had made better use of its characters than simply as simple-minded symbols of EVIL or VIRTUE.

I'm not Mr. Cranky, I did enjoy the movie, but I enjoyed it the same way I do an Italian dinner at the Olive Garden--a well-constructed genre product with nothing special to commend it."
"1784280955-13","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Enthralling, fantastic, intriguing, truly remarkable!","TheLittleSongbird","Apr 17, 2009",""
"1784280955-14","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Two movies in one","Douglas-2","Aug 16, 1998",""
"1784280955-15","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Simply known as ""The Movie""","schnad","Feb 6, 1999","Whenever I talk about this movie with my friends, I do not even refer to it by title, but rather as ""The Movie"".  When I say ""The Movie"", my friends know exactly what I'm talking about.  In fact the main reason that me and my friends don't refer to it by title is because this movie is so great, that we do not feel worthy enough to say it's name in vain! I still remember the first time I saw The Shawshank Redemption.  Some friends of mine and I went to see it at one of those ""Budget Theaters"" over the summer of 1995.  None of us really knew anything about the movie, but we had heard that it was pretty good.  So, not having any real expectations, we saw it.  When the final credits rolled and the lights came on in the theater, all of us just sat there with our jaws hanging down on the floor. I turned my head towards my friend Bob and said ""That was the greatest movie I have ever seen in my entire life!"" There's really no other way I can put it in words.  Every moment of this movie captivated me and inspired me to believe in the one true thing in life...... ""HOPE"".  This movie is sad, uplifting, inspiring, harsh, cold, funny (at the right times), jaw-dropping, and heart-warming all at the same time.  I get chills every time I watch this film and this film contains the greatest ending (which takes place over the last 30 minutes or so)in movie history!  How it all just ""comes together"" is so incredible and uplifting. I should also mention the music in this movie is nearly flawless as well, and the soundtrack is a ""must buy"" for any music fan. The only bad thing about this movie is the fact that I know I will never see a better movie, no matter how many I may see.  I've seen many movies over the past few years, many excellent films.  However, every time I walk out of the theater, I turn to my friend or family member that I saw it with and I say, ""That was a great movie, but it wasn't nearly as good as 'you know what'!""  There have been many movies over the past few years that thought would really move me or that I might one day call my ""favorite of all time"", but they've all fallen far short of ""The Shawshank Redemption"". So, if you have yet to see this movie, please run to the video store immediately.  You're guaranteed to find it in the ""employee picks"" section. And if it isn't in that section, then you should tell the employees there that there is something seriously wrong with them.  If you have seen this movie, go see it again.  If you haven't bought your own copy yet, buy one. In fact buy two, and put one in a fire-proof safe, just in case of an emergency. :o) So, you want a 1-10 rating???  I give it a 13!!!!!!"
"1784280955-16","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","All-time prison film classic","Leofwine_draca","Dec 18, 2016",""
"1784280955-17","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","My favorite movie of all time.","0U","Feb 23, 2020","The Shawshank Redemption has great performances, extremely well written script and story all leading to a deeply emotional climax! One of the best dramas of all time!"
"1784280955-18","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Simply amazing. The best film of the 90's.","reismark","Sep 6, 2000",""
"1784280955-19","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","The absolute GREATEST movie of all time.","KORN-6","Oct 21, 1998",""
"1784280955-20","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","A Timeless Tale of Hope and Resilience","hosodi-11867","Jul 23, 2023","It is a timeless tale of hope and resilience that remains deeply impactful to this day. Set within the confines of Shawshank State Penitentiary, the film intricately weaves a narrative of human spirit's triumph over adversity and the enduring power of hope. Tim Robbins and Morgan Freeman deliver captivating performances, infusing life into their characters and making their journey truly unforgettable. Under the skilled direction of Frank Darabont, the film's storytelling unfolds seamlessly, drawing the audience into a world of despair and redemption. Through its exploration of friendship, injustice, and the pursuit of freedom, ""The Shawshank Redemption"" resonates with audiences worldwide, leaving a profound and emotional impression that lingers long after the credits roll."
"1784280955-21","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","""I'm a convicted murderer who provides sound financial planning"".","classicsoncall","Jul 30, 2011",""
"1784280955-22","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Mystery","mocpacific","Jun 3, 2010","I still can't quite get the enormous reputation of this film. I saw it again last night and instead of clearing up the mystery, the mystery got thicker. It is enjoyable film with very good performances by Tim Robbins, Morgan Freeman, James Whitmore etc, but...the most highly rated film ever? I don't get it. The voice over alone seems to belong to a so so film. I love Morgan Freeman's voice but he's telling us what we're seeing. So, the sterling reputation damages the enjoyment of the film because one is expecting something that never, really, arrives. The most interesting aspect is Tim Robbins's psychological journey. Credible or incredible doesn't quite matter, I did go with him without asking too many questions. Morgan Freeman's humanity is contagious and inspiring, whether credible or not because I bought it. So, a masterpiece? No. Good, even very good? Yes."
"1784280955-23","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Hope is everything","djhenebury-1","Jan 3, 2006","This movie surprised me so much I watched it twice in one day the first time I saw it. Sure I hadn't just picked a movie at random, at the local DVD-shop, but I didn't expect it to be so good. After I watched it I had a look on the IMDb website and was surprised once again that i found it placed number 2 on the top 250 movies list. I wondered to myself, why didn't I know about this movie. Afterall Morgan Freeman and Tim Robbins are quite well-known actors. Frank Darabont however only just caught my attention in 1999, when 'the Green Mile' was released. Finally I came to the conclusion that it must have been either television, because it surely isn't on television often enough, or it could just be me, not knowing very much about the film-world before 1995. For in fact, everyone in my school seemed to have known 'the Shawshank Redemption' for a very long time. ""One of the best movies ever"", my best friend said, ""My favorite movie in the whole wide world"", another one of my friends. THEN WHY DIDN'T YOU TELL ME!!!! I replied. If you liked 'the Green Mile', I'm telling you now, you'll love this!!!"
"1784280955-24","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Simply the best","bhester0806","Nov 13, 2019","There's a reason this is rated the #1 . It is the same reason you watch this movie every time you see it on tv even if it's already half way over. It's captivating, brilliant and full of heart. It's one of the best films ever made."
"1784280955-25","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","The best story ever told on film","Si Cole","Aug 3, 2001",""
"1784280955-26","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","The Greatest Movie of all Time","josephledbury","Jul 16, 2013","Could a movie be any more perfect? This movie is just absolutely stunning in so many ways. Acting perfect, storyline perfect, soundtrack perfect, emotional drama perfect, everything about this movie is perfect.

When this movie first came out it did not reach the expectations that many people expected it to. But as the years went one it was nominated for seven Academy Awards and as it was available for rent everywhere more people started appreciating it and it's popularity grew. Eventually after many years in the top 5 of IMDb's top 250 movies of all time list, it hit number 1 with over one million votes.

The story is about a well educated vice president of a large bank being wrongly accused of murdering his wife and her lover and is sentenced to spend life at a large prison in new England called Shawshank prison. As the years go on in his new home he makes friends, enemys and a dramatic twist at the end which became one of the most legendary scenes in movie history.

I love this movie. The acting is just so passionate and their performances increases the drama and horror of life in prison. The soundtrack is one of the main reason behind the emotional drama this movie. Many scenes in this movie almost left me in tears mainly because of the soundtrack in the background which increases the emotion. 

The cast of this movie include Academy Awards winners Morgan Freeman and Tim Robbins. And also William Sadler, Bob Gunton and many other who made this movie what it is.

Overall it is defiantly the Greatest movie ever made with passionate acting, great storyline and plenty of emotional drama about how hope overcomes fear in a beautifully crafted film about the strength of the human spirit."
"1784280955-27","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","One of the most powerful movies I've ever watched","antoinepana","Oct 7, 2019","The characters are so well developped and well interpreted by the actors that you really feel for them which makes the whole story even more compeling. The structure builts up emotionnaly like only Darabont can do it. Breathtaking!"
"1784280955-28","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","From my favorite movies..","hjpog","Dec 13, 2015","It is one of the best movies in the world that many people will join me. Watching very, very impressed. What it might be called the great stories of Stephen King anyway. Acting on cues can say is enormous. There's no posturing. Especially when Andy Dufrense incredible music that review still stands wandering on everyone's lips. Finale as you lose yourself in it is a movie you are getting into. Finals if he so exhilarating you a high-quality music. And finding that deserves really deserve. I watched this film very young age and it has taught me that the magic of cinema in a nice way. This film is one of the reasons I hate the Oscars. Will remain as the best film in more than 10 years, I believe wholeheartedly sites. Definitely one of the best films in the world."
"1784280955-29","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Masterpiece","Michael_Elliott","Dec 2, 2008",""
"1784280955-30","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Over Rated","dbborroughs","Apr 24, 2004","There is no denying that this is a very good movie. The acting is great and it tells a good story. 

Personally, I find it a bit too long and a little too sweet for my taste, but its far from a bad film. 

On the other end of the spectrum I have yet to understand why this film was nominated for as many Oscars as it was and why so many people have fallen in love with it. To place it on the same level as The Godfather and several hundred other films has to be the result of different tastes.


This is a film that should be seen because its a good movie, not because its a great one."
"1784280955-31","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Papillion is much better","Mad-John","Jul 5, 2002","Oh come on 2nd best movie ever, I don't think so.  It's unrealistic and overly sentimental, the people who voted so high can't have seen many films. By all means watch it, but Papillion for example, is far superior, who can forget Steve McQueen's red rimmed eyes and pasty face as he catches bugs, and crushes centipedes into his watery broth to get nourishment in that incredible portrayal of hardship and determination.  I wouldn't put Papillion as the 2nd best film of all time, but it has to be the best Prison drama.  Watch Shawshank and you'll enjoy it as a lightweight entertaining feel good movie, but there are so many classic films better than this."
"1784280955-32","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Sublimely powerful.","movibuf1962","Feb 4, 2003","It deserves ten stars. Its beauty lies in its slow pace and genteel wit, although some may not have the patience for the slowness. But the whole premise of life inside a prison cell makes better sense when told in a calm, emotion-building, pace such as this. Otherwise, one would never get to know Tim Robbins's quiet accountant (and what makes him appear alternately shy, snobbish, and suicidal all at the same time); or Morgan Freeman's genial-but-cynical lifer- not to mention how he's ""a man who knows how to get things."" I love what the film doesn't do: it doesn't make an issue of its two leads being different races (although one could claim that makes their friendship all the more marvelous), it doesn't pull any sensational, far-out, action punches (as films with an all-male cast often do), and it doesn't freeze its characters into types. Everyone is real and everyone is flawed- from James Whitmore's bird loving veteran to Bob Gunton's pretentious, icy, warden. But the finish (which really starts around the film's last twenty minutes) is one of the most powerful and moving things ever committed to film. Get it in either format."
"1784280955-33","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Hope can set you free and so can this remarkable film","blairgallop7","Dec 30, 2007","One of my favorite movies ever,The Shawshank Redemption is a modern day classic as it tells the story of two inmates who become friends and find solace over the years in which this movie takes place.Based on a Stephen King novel,this movie makes us feel different watching this film than most others as this is an incredibly realistic film.Tim Robbins stars as Andy Dufresne who is convicted of murder and Morgan Freeman as Ellis Boyd ""Red"" Redding who is a fellow inmate and close friend of Dufresne and Bob Gunton as Warden Samuel Norton who is the Warden of Shawshank State Prison and is a character who has mixed feelings and emotions towards everyone around him and a character who is sometimes easy to like and at other times easy to despise.This film is easily considered one of the greatest films of all time and I definitely agree with this fact.It was nominated for seven Academy Awards including (Best Picture, Best Actor  Morgan Freeman, Best Adapted Screenplay, Best Cinematography, Best Editing, Best Original Score, and Best Sound) but didn't win any due to tough competition from the film Forrest Gump.I personally think that Tim Robbins should have been nominated for the Best Actor award as he really gave the performance of his career.Bravo to this brilliant modern day classic!"
"1784280955-34","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","never give up hope","lee_eisenberg","Jul 1, 2005","""The Shawshank Redemption"" should have won Best Picture for 1994. A story of banker Andy Dufresne (Tim Robbins) getting falsely convicted of murder and sent to the hellish Shawshank prison, the movie is beyond amazing. In prison, Andy meets Ellis Boyd ""Red"" Redding (Morgan Freeman), who was imprisoned many years earlier. Red gets Andy a poster of Rita Hayworth. Over the next twenty years, Andy experiences all the horrors that one would expect in jail: beatings by the guards, rapes by other inmates, and so on. But he never gives up hope.

This movie, like ""Carrie"", ""The Shining"", ""Dolores Claiborne"", ""The Green Mile"" and ""Hearts in Atlantis"", just goes to show what a great author Stephen King is. When we think of horror, we think of spooky horror, but ""The Shawshank Redemption"" is a different kind: personal horror. Pure genius. I can only hope that in the coming years, this movie is recognized as what it is: a masterpiece. I can't believe that it won no Oscars!"
"1784280955-35","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","A movie revolution upon all others","Bloker-1","Sep 7, 2006","We have all see movies, comedies, action and dramas. We all liked ones, hated others, got into some other even and felt like part of it. In Shawshank Redemption; you start slowly, after a while you get attached, by the time you reach the middle of the movie you simply totally forget about anything outside the screen and feel a mixed stream of emotions going through you head before anything else! then comes a last 20 minutes of heart storming that is surely enough to raise the adrenaline to extreme levels even in diabetics! I felt warm, strong, happy and all other emotions one can think of, I felt I was the one who won, who got out of prison, i was simply fully satisfied.

This movie must be used as an Anti-depression by therapists! this movie proves that Oscars are either money bought gifts! or that who ever in charge of them are so smart that they couldn't give any Oscar to The Shawshank Redemption knowing that the movie is on different - much higher- rating scale than the Oscars.. it's simply over qualified!"
"1784280955-36","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","""I Had To Go To Prison To Learn To Be A Crook""","bkoganbing","Feb 17, 2011",""
"1784280955-37","https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_ql_2","Greatest movie of all time!","sbrahman","Jul 16, 2013","This movie is one of my all time favorites. Undoubtedly, one of the most brilliant movies I have ever seen. Story, cast, screenplay all are great. The directing by Frank Darabont was just magnificent. The amazing casting of both Morgan Freeman and Tim Robbins is amazing, and couldn't be more accurate. It was narrated by Morgan Freeman, who is the best narrator in Hollywood, I believe. Actually the film depends on the story and the way in which it unravels. It will change the way u think about things around u. Surely, It will teach you one thing that it is easy to take away a man's bread, even his freedom, but impossible to take away his hope.

I can say with confidence this is the best movie I have ever seen - or ever will see. If you haven't watch it yet, just GO! Watch it! Now!"
