title,username,date,review_text
Indulgent rubbish,stevealfieholmes,2019-05-08,"Indulgent rubbish. Do yourself a favor and just watch infinity war because this film is boring and by the end, I just did not care anymore!"
The best Marvel Superhero movie ever and also the epic conclusion to the 21 movies in the MCU,rjcattermole,2019-04-24,Avengers: Endgame is above all the best Marvel superhero movie to date. This is also the best and epic conclusion to the 21 movies in the first 10 years of the MCU. This is the epic culmination. The best storytelling ever told.
Perfection,monks_89,2019-04-24,"Unbelievable. For Marvel to pull this tour de force of a film is unreal. 21 films. 21 films culminating in the conclusion of endgame. The scope is incredible, I will only say it's definitely one of the best Marvel films out there, and there are many. I don't want to spoil anything. Watch it!"
"Action,Happiness,Sadness and pure joy!",jaacy-84600,2019-04-24,"I laughed , cried and was speechless. 3 hours well used. It was a perfect ""ending"" of the Avenger Movies.
I will watch it again and again and again. 10 points well deserved!!!"
So much potential lost ....,CriticalThinking2,2019-04-30,"After Infinity War I had huge expectations. Unfortunately I think it doesn't follow the comic book at all because they wanted some kind of closure of the story.
I saw a lot of 10 star reviews and I cannot believe the majority of people like this movie more than Infinity War.
I'm not saying it wasn't entertainment to watch but the feeling is that all heroes were forced to fit in a movie paying a big price to the story.
There are moments in the movie where the rules from all other Marvel movies are broken and characters which were build over hours of screen time were reduced in order to make space for others.
The story is average at best with big flaws."
"A decade to build, just 181-minutes to destroy......",PaceOfChange,2019-04-29,"The Russo Brothers will be forever known as the directors that failed a franchise and insulted the very fans that embraced it.

I have no idea why they felt their finished product would pay homage to Stan Lee's legacy or the characters he brought to life but this ""closure"" to a decade of greatness was, in fact, the most disappointing 3-hours of character assassination in cinematic history."
Just so disappointed!,S_QCP,2019-06-28,"I expected so much from this film but just feel so disappointed by it. A poor and incoherent story with so many contradictions within it plus a total waste of my favourite character - amongst others (like Thanos himself). I did go and rewatch it in the cinema a second time and realised that, without all the excitement and expectation I went in with the first time I was just really really bored.

It did have some nice ""moments"", especially the anticipated big fight towards the end. Some characters get a good inning - love Antman and, of course, Iron Man but this is my least favourite MCU film.

And the ending...........sigh!"
A little bit underwhelmed,Mardolin,2019-04-24,"Don't get me wrong, the movie was great, but would I watch it a second time? Probably not - until the DVD comes out.

I've seen infinity war at least 5 times, and it's one of my favorite films.

That being said, i will compare the two movies for sure, and I just disliked the pacing, it was all over the place. Some Characters felt off, and some got little to no screen time, where others had too much.

It's just too many characters for one movie, even though infinity war did it much better, with just as many characters. I just can't put my finger on it.

The fighting scenes were alright, the first half lacked action, but the second half delivered some good solid scenes, nothing groundbreaking, but fun to watch. They can't reinvent the wheel, neither do they want to. They stick to what works, and that's alright.

All in all, the movie was a close 8/10, the fanboys who give it a 10 are just blind to accept the mistakes the movie made. It's not a perfect film, even an 8 is really generous in my opinion. The Movie works with nostalgia and gives fans of the MCU the things they wanted, more or less.

Still thinking Thor 3 was the best MCU movie. Sue me."
"The most satisfying ending, just like the Russo's said.",thomasdekoning1996,2019-04-24,"This movie proves the Russo brothers are in a league of their own when it comes to closing a franchise this big. In my opinion they pulled of the most satisfying ending this story arc could have.

It's nothing without its previous 21 movies. Must watch for every movie fan."
Absolute Perfection End Game,ymyuseda,2019-04-24,"Rating 10/10
Absolute perfection end game !! Good acting performance to all the characters. Great cgi's. Truly epic & perfect ending to a long journey of marvel movie. Go see it you wont regret it !! Perfection Marvel Endgame !!"
No Justice for this Film,dummykenmen,2019-04-28,"I loved how the story of the Infinity War was conceived. With all the fight scenes and the emotional aspect of the movie, especially the end part, everything was superb. But this is supposed to be a wrap-up film. The directors and writers just destroyed it all. What's the point of doing a hype over Captain Marvel for this movie when you just give her a few minutes of screen time? It would be forgiven if you give her an amazing fight with the villain during the climax. But what have you done? With just a few kicks and punches and that's it. It doesn't give a scratch over Thano's face. What a crap!!!

You also ruin Hulk! He is supposed to be the strongest Avenger after the events of Infinity War, after all the disappointment and frustration he has experienced when Hulk won't face Thanos. But this time, he's just as good as nothing Avenger. I wonder why they did not give Thanos and Hulk a fight of a lifetime. I'm really surprised that they did not even get face-to-face when all hell breaks loose.

This movie is dubbed as an action movie but got 75% of the time talking and mumbling.

There's no justice at all to those beloved characters and this movie. You have ruined my expectations."
Worst Marvel Yet!!,sebastianjohnayres,2019-05-04,"Honestly felt like a completely different film from Avengers Infinity War. In fact the film had such a different tone from all the Marvel films before.

The characters changed, the story line was poor. Incredibly disappointing end to phase three"
Very disappointing,ravi2445,2019-05-12,"Right in the beginning, you know how the movie is going to end...the good guys are going to win. How anti-climactic that was.. The stage is not set right (half of all humanity is gone, but the enormity of that is not explored...)...when you have Thanos give his explanation as to why he did what he did, I found myself thinking - well, he actually has a point.
In the meanwhile, every single superhero is given time to fight, say some cute things, some say a few smart things, a few even manage to say profoundly philosophical statements...
The quantum physics explanations used to explain how things are done, are plainly non sense... ..they just made stuff up as they went on.
Alls well that ends well. Except we spent 3 hours to find that out."
Not very good,laughingsaint66,2019-08-02,How did I not recognize Karen Gillan as nebula !! Funny at times otherwise kinda ridiculous
Huge fan left underwhelmed!!!,james-84287,2019-04-30,I went in with the highest expectations and came out underwhelmed and disappointed. its nowhere near as good as infinity war !!!
The worst MCU film ever...,mikekutsykh,2019-04-26,Absolutely strange how they could cut so strong first part of Avengers and spoil the second one! All dialogues are weak and absurd same as a few plot lines. The last 5 minutes of the film is all-around failure!
nothing here keep on walking,patrickpink2013,2019-08-19,"3 hours out of my life I will never get back.
not worth the hype. you think the soap opera is done by the ultimate battle.
think again. let us milk it and release another spider man. geez a lou."
Really disappointed...,Snowraven69,2019-09-02,"The dumbing down of Hulk and ruining his character by turning him into an utter wimp, turning Thor into a bumbling drunkard, really? Well done Disney on ruining yet another couple of hero's characters (See Luke Skywalker and Yoda in Disney's Last Jedi for extra confirmation of this) That's all I've got to say about this movie."
Too many paradox plot holes. :(,aryonda,2019-04-30,"I cried and laughed and blah, blah, blah. CGI was great, but I can't get past all the subtext to create plot rules and then completley blow them put of the water. I can think of about 5 minutes of scenes and a slightly different way to handle the last moments of the battle that would have covered those holes. I can't believe no one said ""Hang on a minute. This wont work."""
Not sure what the hype was about?,shiz-174-875258,2019-05-04,Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...
One cannot not like it,prarthanabackup,2024-10-29,"This movie feels more like a culmination of all the Marvel movies. A perfect closing to the MCU uptil that point. It brings back all the major characters and settings throughout the whole Marvel franchise. Talking about the movie after almost 5 years even today I get goosebumps. It marks the end of a few main characters that will literally drive any Marvel fan to tears. The plot revisits a few great Marvel moments from earlier movies literally bringing in a wave of nostalgia. The film has remarkable action, splendid visual effect, moving musical score and an even greater emotional weight. Kudos to the actors, directors, writers and the whole team for making such an awesome movie that has left a profound impact on our generation. This movie will always remain special to me."
Overrated.,Unactive12345,2021-03-25,The Most Overrated Movie Of All Time. (Will Always be the Most Overrated and most Forgettable Movie Of all Time.)
Just wow. Best superhero movie ever,ericbaez26-953-178828,2019-04-24,"Basically the title. Left me speechless. I was probably too hyped to the point of annoyance but it broke my massive expectations to the point that I'm watching it again 2 more times this weekend. It leaves you at the edge of your seat and the 3rd act is just insane and a masterpiece. Infinity War was fantastic but this is insanity, in all the right ways. The best series finale that I hoped it would be and then some."
Just 2 Word,Hama-,2020-02-09,"This Is Not A Movie,Not Cinema, This Is A Theme Park"
You're joking right?,recycledmediaz,2019-06-14,This movie was a terrible mess from start to finish.
My Childhood...,briancrules,2019-06-20,"Wow... All i can say is that the movie ended my entire childhood in the most perfect way!!
It kept you on your feet the whole way through!! Marvel somehow manages to add comedy to the most intense situations. its Awesome!! The battle scene was out of this world!! I just... wow.. Thank you marvel. I love you 3000!!!
ROBERT DOWN JUNIOR WON THE HERO OF THE YEAR AWARD THIS YEAR LAST WEEK AT THE MTV MOVIE AND TV AWARDS!!"
Not worth the hype,Random789,2019-05-13,Just a basic superhero movie. 3 hours but not much going on.
Great ending but not as good as infinity war overall,Susisgud,2019-05-05,"It's a long film at 3 hours the last one being better because this concludes the 10 year story in at great and satisfying way. The first 2 hours are build up that is ultimately paid off but I felt the middle dragged on I just wanted to get to the end. Infinity war kept me interested the whole time, more than endgame. It's definitely worth the whatch and after you don't have to worry about spoilers.8/10."
AMAZING,sophiakjaer,2022-03-10,"THE STORY IS VERY WELL BUILT
THE CHEMISTRY OF THE CHARACTERS IS GREAT

CGI IS GOOD

THE PERFORMANCE IS GOOD

IT WAS A GREAT LAST CHAPTER AFTER THIS FILM

uDIDN'T WATCH ANYTHING ABOUT MARVEL BECAUSE NOW IT JUST MAKES GARBAGE."
Most amazing movie EVER!,pobodysnerfect-90918,2019-11-03,"Don't listen to the haters, it's amazing! Seriously, this is the movie of the year!"
Epic,sahil_shah-53365,2021-12-23,"One of the best superhero movies I have ever watched.

All the actors really nailed their roles.

Especially my one and only favorite iron man.

Robert Downey Jr is irreplaceable in Iron man role."
Somehow they ruined it,portolourenco,2019-05-04,"This is my own opinion, but so many things that didn't make sense in that movie... like so much stuff that could've been utilised in a better way and so many stupid things that were put on wrong hands. The image and the graphics are really good but the plot is weak.
Emotionally I give a 9/10
Graphics I give a 9/10
Storyline I give a 3/10"
3-hour Feminist Captain Marvel Ads,saifuddinmigraso,2019-05-01,"Not the Avengers Stan Lee created.
Emasculates the heroes, and attempted to sell a new hero.
The character Stan Lee created is completely destroyed. Even the abilities are messed up.
This is not Avengers."
Just terrible!,ferdmalenfant,2019-08-02,They've really scrapped the bottom with this one! Oh so Bad!
So good,arypatel-83300,2019-04-24,"The best marvel movie ever, I cannot put into words how amazing this movie was, too good!"
A peak that will never be surpassed,berestov,2025-03-17,"It's funny to remember the reviews from 6 years ago in which someone talked about such a thing as a fan service. You see, going through some key events, meeting old versions/characters is a fanservice.

Where are these commentators now, when literally all of Marvel's +-watchable projects are filled with fanservice? The rest are just bad and uninteresting.

I don't understand any complaints. All the characters reach their peak of development and do the things they need for themselves. And the main villain manages to lose 2 times in 3 hours.

Although repeated viewings do not give the same sensations as during the cinema premiere, I have a good memory, so I don't see any point in underestimating after a while. Few films can personally give me emotions of the same level. Maybe there won't be any more of them..."
The Perfect Finale,willtownsend-59710,2019-04-24,"Avengers: Endgame is the final film to the Infinity saga in the Marvel Cinematic Universe. The story is emotional, unpredictable, unforgettable, complex and intense. The story does continue on right after infinity war had finsihed, and I thought it was a good way too start because the characters can give you an understanding of how they are feeling. How much loss they have witnessed.
During the three hour film, you care so much for the characters that it makes you want them to live through the whole time, leaving with no casualties. The acting by the cast is outstanding, none of their lines sounded cheesy. Chris Evans and Robert Downey Jr especially. The audience has never seen the two characters shine so bright and powerful over the last 11 years. The visuals are the most impressive, it is shown to be Oscar worthy and you would be hungry for more as the film continues on. The final battle was the bomb, the mother of all battles, better then Ready Player One's finale. It's so big and all of it fits in perfectly. Avengers Endgame is the perfect finale that has been set up over the last 11 years. Its a rewatchable film and you will never see the characters the same way as you have seen them from the past films."
Can we please get this off the TOP 250? Thanks,constantinejack,2019-05-01,"I think Marvel films are fine, I understand loving them I really do. Spider-Man 2 is my personal favourite, but please stop giving these movies a 10/10. Endgame is a 7 at best. It's probably the most flawed Avengers film story wise. It's popcorn fun, but it's like if we let Fast & Furious or Transformers films in the top 250. Meanwhile 2001: A Space Oddisey is lower than Infinity War."
Best Marvel Movie Ever,schmid-maximilian,2019-04-24,Just watch this epic final of the best Marvel movie ever!
Good but didn't live up,alexjwebb,2019-05-02,I was super excited to see this movie after Infinity War ended but I left rather disappointed. It was good but I felt like the first hour or so was wasted space. I did love Thor though.
Incredible,nicksokhal,2019-04-26,"No words...absolutely incredible, THE best way to end the whole series. Watching all the movies to finish with this, every single hour was worth it, hats off to Marvel 👏🏽"
Fitting End,gollwog,2019-04-24,"Despite what others may say or have said this film was far from predictable. I certainly lost my bets. I both laughed and cried during this film.
I loved every minute and none of those minutes were wasted. The writers outdid themselves on this one. I just hope the next ten years can live up to the first.
Here's hoping."
Simply great,LarsFischer1986,2019-04-24,Just watched the new Avengers-movie. It's simply fantastic and a must-watch for every Marvel-Fan. It contains everything I expected and wished for an so much more. It's hard to put in words without a spoiler. Find out by yourself and enjoy.
Truly Beautiful,andregezz,2023-08-06,"I just watched the Avengers movies and some of the infinity saga and I truly think this is a great movie, the CGI and acting were wonderful and the ending was truly a masterpiece and was probably the best ending for a movie saga (don't quote me on this). There are some low points but they are they don't effect the true rating which is a ten, this movie deservers the 8.4. Or an 8.5, I kinda have a bias. Cause i grew up with the marvel movies specifically Iron Man and stuff but the bias does not effect my rating. I live it and many others love it as well i regard this the end 0of the entire mcu from Iron Man - No Way Home, the other multiverse movies are mid and are very odd."
Sucks,leopineda-92600,2020-09-20,"Extremely overhyped movie, loved by marvel fanboys only. Its insulting to say that its the best movie ever, if that was the case, human race would have failed and we all should be killed by a meteor."
A must watch,kriscot-48548,2019-07-16,great performancesincredible visualsstory ends in a way to set worth a new generation of marvel stories/charactersperfect send off for the original actorsa must see for any marvel or superhero fan
In the list of my top 5 favourite Marvel Movies.,Marjuk_Ocean,2023-09-20,"""Avengers: Endgame"" - A Spectacular Culmination of Marvel's Cinematic Universe

Endgame is more than just a movie - it's the big, emotional payoff we'd been waiting for after over a decade of Marvel stories. From the very start, it hits you with the weight of what happened in Infinity War, but instead of rushing to the action, it takes its time, letting you feel everything.

Every character gets their moment to shine. Tony Stark's journey comes full circle in a way that's heartbreaking and perfect. Steve Rogers? His ending feels like a warm hug to everyone who followed his story from day one. And the final battle... it's pure goosebumps. Every hero you've ever cheered for charging into the fight - it's impossible not to yell at the screen.

The Russo brothers nailed the balance between epic action, gut-punch emotions, and those little bits of Marvel humor that make it all feel real. The soundtrack soars, the visuals are mind-blowing, and the crowd-pleasing moments are unforgettable.

It's not just fan service - it's the ultimate thank-you letter to the fans. Endgame doesn't just wrap up the Infinity Saga, it sends it off in the most satisfying, tear-jerking, fist-pumping way possible.

Verdict: A perfect finale. You'll laugh, cry, and probably rewatch it immediately."
Best movie I've seen in ages,bigpeas,2019-10-09,"Let me start by saying THIS is how you wrap a saga!!!!
I loved this movie, it was an emotional rollercoaster from open to close, and a fitting way to pay tribute to the legend of Stan Lee."
Excellence,cst2709,2019-04-24,"The climax that all fans deserve. Marvel still pulls out surprises that you couldn't dream of, allowing this to earn a spot anongst some of the greatest films made. The length yields an utterly satisfying scene, but honours the 11 years of the studio with the perfect ending."
What next for the MCU? Suggestions!,craigearl,2019-06-22,"Loved Endgame but with a lukewarm feeling for The Eternals and Shang Chi on the horizon, I wondered whether the MCU should make more logical choices for the next phase. Obviously there are development issues with the FF and X-Men franchises and DC's Aquaman may well scupper a potential Sub-Mariner movie, but perhaps these would work:

1) Captain Britain (we heard 'Braddock' mentioned by Peggy Carter in Endgame; Brian's father perhaps?)
2) Alpha Flight. With the Avengers having run their course, perhaps their Canadian counterparts could step up. It stands to reason that other countries would want to copy the Avengers model (I know they are the Earth's protectors but they pretty much belong to the USA).
3) Moon Knight. Although I would love to see Daredevil done right on the big screen, maybe Marc Spector could fill the void.
4) Silver Surfer. Norrin Radd was the best thing about the FF sequel. A space-based movie would give him room to soar. Look to GotG or the Ron Lim Thanos issues of Silver Surfer for inspiration.
5) Ka-Zar. Although often perceived as a Tarzan rip-off, Lord Kevin Plunder's exploits could open up a whole new playground with the Savage Land.

I wonder if we'll look back in 10 years and see if any of these came to pass...!"
Fell at the last hurdle,mrjeffreygoymer,2019-05-15,"I watch all films with an open mind and went into this 3 hour long film without any preconceptions.

This film really let itself down. The writers completely changed some of the characters, they tried to make it funny and failed at every attempt where it was cringe worthy and boring. The story was dragged out to its limit and went on for way to long.

Don't waste your money at the cinema, maybe Google the outcome."
"Was promised a chocolate cake, turned out to be cake of manure.",0maro0,2019-05-09,"Let's be clear - there was a lot of talking about this film, about how great it will be. Turned out? It was a pretty decent story about time traveling (I honestly like those). I even thought I like it, aside from some little things that don't even worth mentioning. But the ending - oh, let me talk about the ending. It is so horrible that it erased any good impression this movie could've left. I don't have the problem with how it ends, with events presented. I have the problem with how boring, non-aesthetic and amateur it was filmed. I'm furious that funeral scene turned out to be such a cheap vulgarity, such an emptiness that tries to play with viewer's emotions - and, sadly, fails. This is what the character died for? To be honored... With this? Boy, oh boy. I don't know how many people actually like this scene, but I sure do not.
Also - diversity. As a commercial product in the first place, a movie about diverse characters, well, completely non-diversed. Heteronormative, I would say, and in 2019 it is quite anachronistic. Quite obvious, of course, that the company is afraid of possible risks and profit losses - another reason to think about what good such soulless capitalistic approach can give us? From where I stand, nothing good. I don't want to be a consumer, I want to be a viewer that is not treated like a money account. Anyway, I was bitter about it just a little - after all, what can you expect from Marvel and Russos, really? They are not Taika Waititi after all (how honestly great it would be if Taika Waititi filmed all Avengers movies is story for another time), so even queer-coding isn't present. What got me furious is that Russo had the nerves to actually say they included LGBT-representation there. Leaving alone term ""LGBT-representation"" and why I have problems with this phrasing, let's see what we have here. And what we have, fellow viewers who don't enjoy tasteless similarity in their films, is a huge slap on our faces and our egos. This is what we can call a proper representation these days? I doubt it. It's so elusive I even didn't noticed it in the first place, thinking that the man could be talking about any people from his family. So, if I can read a text hermeneutically and headcanon some queer characters in there, does that mean a film has representation in it? Or, more important, does it mean director has the right to be bragging about such representation? Last one - certainly not."
A great ending to a wonderful 10 years saga.,tatbtsisb,2019-10-16,"Endgame is certainly one of its kind. A movie that will be marked as the film of this decade. Building up from Iron Man to Captain Marvel, a 10 journey filled with joy, adventure and tears. And we need a perfect ending to all of that. Endgame is the perfect ending. A movie that has everything a fan will ever dream of, an amazing cast and a wonderful climax. It is such a huge payoff from 10 years worth of building up. To look at this from a Fan's perspective, it is an awesome movie and it is a masterpiece. But to look at this from a critic's perspective, it is not the best movie. It certainly lacks some elements to a perfect movie. But this to me, is such a wonderful movie and I definitely loved it. It has everything I wanted and I'm gonna give this movie a 9/10."
Could of been more by being less,davidkog,2019-05-01,"I'm a huge fan of long slow-crawl movies (cue LOTR trilogy) but the first half of this culminating slog was way too slow and artificially melodramatic. This is in stark contrast to Infinity War's well edited, if not somewhat fractured fast paced scenes.

If anything Infinity War could of used an extra 20min of dialogue and slower pacing edited out of Endgame. In the end, still a fun movie but not without obvious pacing flaws."
End game without a proper ending,shyam142012,2019-04-30,There are so many ways that the movie could have gone. But it is chosen to be this way. So the climax should not be criticised. The story is completed with no proper explanation for the rest of the avengers. Other avengers are not given importance in most of the places. Don't go to the movie if you know the spoilers. My experience has been spoiled by my friends.
Good and Entertaining Movie but Overrated.,Njrota,2019-05-07,"This was a fun movie, but it was by means no where near a 10/10. Infinity War was a much better movie to be honest. It had way better action and a better story. End Game's plot was a mess. Overall, it was an entertaining and fitting end to an era, but was by no means perfect."
These get worse!!!,sajakram,2019-06-14,I don't really know what all the hype is about. Bored watching this as it's the same again just rehashed. Glad to see the back of the Avengers to be honest.
He peed on your rug!!!,np89301,2019-05-12,"Thor's take on ""the dude"" was the best part of the movie.

Too long and sentimental

Most of the focus is on the original avengers which is good but many of the storylines were just not very exciting

I would wait to see this on video"
The Group Hug That Punched Me in the Feelings,rgpaeplrp,2025-07-05,"Okay so Avengers- Endgame is the grand finale of the Marvel saga and, not gonna lie, it hits hard. Like, it's three hours long but somehow still feels like a sprint through your entire emotional range. Sad. Epic. Kinda hilarious. Then sad again. Then Captain America does something that made everyone in my theater scream like they just saw God. The plot? The Avengers are all depressed after Thanos did his big ""Snap"" thing and wiped out half of everything. So they go on a time-travel mission that's like a Marvel highlight reel on steroids. If you've seen the other movies, it's peak nostalgia. If you haven't, good luck understanding anything. Robert Downey Jr. And Chris Evans carried the emotional weight of the universe. Tony's arc? Brutal. Cap's ending? Chef's kiss. Also, the final battle? Bonkers. Like, every single Marvel character shows up and it's chaos in the best possible way. It made a bajillion dollars, broke every record ever, and people still talk about it like it's the Super Bowl of movies. It kind of was. Would recommend - just, maybe watch the other 21 movies first or you'll be very confused and also dead inside."
"On my 10th rewatch, it's not that great after all...Lazy.",Beyondtherain,2021-03-21,Not a good film. Took me a few watches to realize.
Amazing,mrbond-99502,2020-01-10,"⭐ 10/10 RDJ u r awesome. Great performance by director, cinematographer. Actions is excellent. Dialogues are extremely good."
Pure torture,Alpharoll,2019-08-06,"I had to take several breaks, walk the dogs, play videogames and clean the house, while watching this absolutely ridiculous and nonsensical pile of rubbish and now afterwards, I'm asking myself why I put myself through such suffering. To what end. I guess I was hoping there would be one scene or at least one line that put a smile on my face or made me feel anything at all except extreme pain and boredom. There wasn't any of that unfortunately, so I just wasted three hours of my life I could have spent on basically anything else and it would have been more worth while. I can't decide which one was more painful to watch, this or Aquaman? Both equally and utterly disappointing I guess."
Avengers:Endgame historic performance,Stream2BigScreen_Movie_Reviews,2020-01-07,"Let's talk about the enormity of this film and what Marvel just accomplished.

First, this movie did not disappoint. It is very hard to contemplate a movie that will ever have as much or more anticipation than Endgame. Just think about the build up of this film. From May 2008 to April 2019, Marvel, in 21 films, introduced heroes, villains, plots, side plots, family members, love interests and countless Easter eggs that culminated into this film.

Second, in a movie full with 10+ main characters, Marvel did an unbelievable job featuring each one and staying true to the characters we've all fallen in love with. This point could easily be a thesis paper for a doctoral candidate. The development and story arcs of characters, individually and collectively, in the midst of struggle and triumph is nothing short of amazing. The attention to detail and thoughtful craftsmanship is true artwork. One knock fans may have is the forced fandom moments. We have so many beloved characters but these moments comes as certain team-up pairings during the big fight that are great but also forced and stereotypical.

Lastly, this movie is beauty in motion. Mainly, the movie looks and sounds wonderful. If there is one knock against the movie, the final fight at points was too dark for some of the characters. Otherwise, the final fight displays exactly what many of the DC movies have failed with, Hero power display. Marvel did such a great job of making you feel every punch, kick, hammer throw but also made you feel like you were in motion with each character (thus why I believe 4D would be very good). The sound editing is very good and the song selections in this movie help the viewers follow the emotional roller-coaster ride everyone believes they are in for.

Marvel created near perfection for fans (or a near perfect ending). And the ending of this movie, isn't even technically the finish to Phase 3 of their universe. That would be Spider-man: Homecoming coming soon. Phase 4 and 5 are also already in the works. Everyone that was a part of this movie and the first 3 phases should be applauded, but their work is not yet done because for those with the greatest power comes great responsibility."
